;=== Measured signals to be read - MAST diagnostics ===
;===
;=== CY 2019 signal
;===
;=== J.W. Berkery 07/30/19:      Originated from sigMAST_010919_VacTests_s1c.dat, with attempted fix to effective resistances
;===                             for the vessel segments. Calibration factors for probes individually tailored to each
;===                             particular vacuum calibration shot.
;===
;=== Computed "signals" based on measurements ===
;===
;=== NOTE: map index is one greater than the corresponding IDL array index
;===       (i.e., ioh, map index 1 = ioh[0], etc.)
;===
;=== NOTE: See notes at end for stated errors, bit noise, etc. as well as definitions
;=== 
;Name   sigl  map    map  MDS Read      Error    Signal Use Conversion  Pri Fit  t  Smoothing   Designation
;       type  var    indx tree sig? rel  abs  threshold err? factor         wgt idx win (s)     Data    Auxiliary
;===========================================================================================================================================================
P1        OH  ioh       1  e  y  0.020  20.0     40.0     y  0.5e3     1.0 1.0   1  2.1e-3   AMC_SOL~CURRENT        - ;(A) ; P1 feed is split in two for turns
P2IU      SC  icoil     1  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2IU~FEED~CURRENT  -
P2OU      SC  icoil     2  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2OU~FEED~CURRENT  -
P3U       SC  icoil     3  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P3U~FEED~CURRENT   -
P4U       SC  icoil     4  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P4U~FEED~CURRENT   -
P5U       SC  icoil     5  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P5U~FEED~CURRENT   -
P6U       SC  icoil     6  e  y  0.020  10.0     20.0     y  0.250e3   1.0 1.0   1  2.1e-3   AMC_P6U~CURRENT        - ; Units "ka*turns", so /#turns
P6L       SC  icoil     7  e  y  0.020  10.0     20.0     y  0.250e3   1.0 1.0   1  2.1e-3   AMC_P6L~CURRENT        - ; Units "ka*turns", so /#turns
P5L       SC  icoil     8  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P5L~FEED~CURRENT   -
P4L       SC  icoil     9  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P4L~FEED~CURRENT   -
P3L       SC  icoil    10  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P3L~FEED~CURRENT   -
P2OL      SC  icoil    11  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2OL~FEED~CURRENT  -
P2IL      SC  icoil    12  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2IL~FEED~CURRENT  -
;
P2CU      SC  icoil    13  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2U~CASE~CURRENT   -
P3CU      SC  icoil    14  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P3U~CASE~CURRENT   -
P4CU      SC  icoil    15  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P4U~CASE~CURRENT   -
P5CU      SC  icoil    16  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P5U~CASE~CURRENT   -
P5CL      SC  icoil    17  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P5L~CASE~CURRENT   -
P4CL      SC  icoil    18  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P4L~CASE~CURRENT   -
P3CL      SC  icoil    19  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P3L~CASE~CURRENT   -
P2CL      SC  icoil    20  e  y  0.020  10.0     20.0     y  1.0e3     1.0 1.0   1  2.1e-3   AMC_P2L~CASE~CURRENT   -
;
;;P6CU      SC  icoil    21  e  y  0.010  10.0     20.0     y  1.0       1.0 1.0   1  2.1e-3   AMC_P6U~CASE~CURRENT - ; no P6 case signal - model as VV
;;P6CL      SC  icoil    22  e  y  0.010  10.0     20.0     y  1.0       1.0 1.0   1  2.1e-3   AMC_P6L~CASE~CURRENT - ; no P6 case signal - model as VV
;
IP1       PR  ip        1  -  y  0.010  10.0e3   50.0e3   y  1.0e3     1.0 1.0   1  2.1e-3   AMC_PLASMA~CURRENT     - ; (A) 1.0%,10e3,50e3 error (initial)
TF1       TF  none      1  -  y  0.050  30.0     50.0     y  4.800e-6  1.0 1.0  -1  2.1e-3   XDC1_TF_CURRENT        - ; (A -> m*T) (24 turn coil)
;TF1       TF  none      1  -  y  0.050  30.0     50.0     y  4.800e-6  1.0 1.0  -1  2.1e-3   AMC_TF_CURRENT         - ;(A -> m*T) (24 turn coil) <== no signal?
;FDIA      DL  dflux     1  e  n  0.04   0.004    0.004    y  1.0       1.0 1.0  -1  2.1e-3  \\FDIA                  -  ;(Wb) error was 2%, 2mWb
;
VFLCC03   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC03   -  ;(V) === loop voltage signals
VFLCC04   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC04   -  ; 
VFLCC01   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC01   -  ; 
VFLP2U1   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P2U/1 -  ;
VFLP2U4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P2U/4 -  ;
VFLP3U4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P3U/4 -  ;
VFLP5U4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P5U/4 -  ;
VFLP6U1   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P6U/1 -  ;
VFLP6L1   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P6L/1 -  ;
VFLP5L4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P5L/4 -  ;
VFLP3L4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P3L/4 -  ;
VFLP2L1   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P2L/1 -  ;
VFLP2L4   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LV/P2L/4 -  ;
VFLCC07   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC07   -  ;
VFLCC09   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC09   -  ;
VFLCC10   VL  none      1  o  y  0.020  0.10     0.10     y  1.0       1.0 1.0  -1  2.1e-3  XMA_LVCC10   -  ;
;
CC01      FL  tfl       1  -  n  0.020  6.0e-4   6.0e-4   y  1.0        1.0 1.0  1  2.1e-3   AMB_FL/CC01          - ; (Wb)
