;=== Measured signals to be read from NSTX diagnostics ===
;=== 
;=== Day 1+ Signal designations
;=== S.A. Sabbagh 11/3/99
;===
;=== Computed "signals" based on measurements ===
;===
;=== NOTE: map index is one greater than the corresponding IDL array index
;===       (i.e., ioh, map index 1 = ioh[0], etc.)
;===
;=== NOTE: See notes at end for stated errors, bit noise, etc.
;=== 
;Name   sigl  map   map  MDS Read       Error     Signal  Use  Conversion Designation
;       type  var   indx tree sig? rel   abs   threshold  err?  factor
;===================================================================================================
OH1       OH  ioh       1  e  y  0.010  20.0     40.0     y  1.0        \IOH     ;(A) === Eng signals
PF1AU     SC  icoil     1  e  y  0.005  8.0      20.0     y  1.0        \IPF1AU
PF2U      SC  icoil     2  e  y  0.005  100.0    150.0    y  1.0        \IPF2U
PF3U      SC  icoil     3  e  y  0.005  80.0     80.0     y  1.0        \IPF3U
PF4U      SC  icoil     4  e  n  0.005  20.0     20.0     y  1.0        None
PF5U      SC  icoil     5  e  y  0.005  20.0     25.0     y  1.0        \IPF5
PF5L      SC  icoil     6  e  y  0.005  20.0     25.0     y  1.0        \IPF5
PF4L      SC  icoil     7  e  n  0.005  20.0     20.0     y  1.0        None
PF3L      SC  icoil     8  e  y  0.005  20.0     40.0     y  1.0        \IPF3L
PF2L      SC  icoil     9  e  y  0.005  100.0    150.0    y  1.0        \IPF2L
PF1AL     SC  icoil    10  e  y  0.005  20.0     30.0     y  1.0        \IPF1AL
PF1B      SC  icoil    11  e  y  0.005  12.0     20.0     y  1.0        \IPF1B
IP1       PR  ip        1  e  y  0.005  10.0e3   50.0e3   y  1.0        \IP1          ;(A) - was 20% error
TF1       TF  none      1  e  y  0.010  30.0     50.0     y  7.1667e-6  \ITF             ;(A -> m*T)
HHFWPWR   RP  none      1  r  n  0.100  100.0    100.0    y  1.0        \HHFW_POWER      ;(W) === RF signals
VFLOHM    VL  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_17_OUTER ;(V) === Ops signals
; NOTE: This was changed from \V_FLOHM on 12/13/99 to avoid clipping at higher voltage
VFLEVVU2  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_7_OUTER  ;(V)
VFLEVVU4  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_5_OUTER
VFLEVVU5  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_4_OUTER
VFLEVVU7  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_2_OUTER
VFLEVVL2  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_27_OUTER
VFLEVVL4  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_29_OUTER
VFLEVVL5  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_30_OUTER
VFLEVVL7  LV  none      1  o  y  0.050  0.10     0.10     y  1.0        \LV_EVV_32_OUTER
;;;IPPF1B    PR  none      1  o  y  0.200  20.0e+3  50.0e+3  y  1.0        \IP_IPF1B_1   ;(A) must be before IP1
;;;IP1       PR  ip        1  o  c  0.200  20.0e+3  50.0e+3  y  1.0        IPPF1B        ;(A)
RCSCL1    RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGCSCL1
RCSCL2    RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGCSCL2
RCSCU1    RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGCSCU1
RCSCU2    RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGCSCU2
IVVTOT    IW  iwalltot  1  o  y  0.040  20.0e3   40.0e3   y  1.0        \IVV_TOT     ;Wall current estimate
IVVTOTV   IV  ivvtot    1  o  y  0.040  20.0e3   40.0e3   y  1.0        \IVV_TOT     ;Vessel current est.
REVVUL2   RG  irog2tot  1  o  y  0.015  15.0e3   40.0e3   y  1.0        \I_ROGEVVUL2 ;Total Rogowski current (*)
REVVUL1   RG  none      1  o  n  0.030  20.0e3   0.00     y  1.0        \I_ROGEVVUL1 ;Total Rogowski current
RPPPSL1   RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGPPPSL1
RPPPSL2   RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGPPPSL2
RPPPSL3   RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGPPPSL3
RPPPSL4   RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGPPPSL4
RSPPSL1   RG  none      1  o  n  0.050  0.00     0.00     y  1.0        \I_ROGSPPSL1
FLEVVL1   FL  tfl       1  o  n  0.050  0.00     0.00     y  1.0        \F_FLEVVL1     ;(Wb) Compute from LV for now
FLEVVL2   FL  tfl       2  o  y  0.010   3.0e-3   6.0e-3  n  1.0        \F_FLEVVL2     ;Calculate from LV - available all shots? (3.8%)
FLEVVL3   FL  tfl       3  o  n  0.045   3.0e-3  10.0e-3  y  1.0        \F_FLEVVL3     ;Not available
FLEVVL4   FL  tfl       4  o  n  0.100   3.0e-3  30.0e-3  n  1.0        VFLEVVL4       ;Calculate from LV
FLEVVL5   FL  tfl       5  o  y  0.015   4.5e-3  10.0e-3  y  1.0        \F_FLEVVL5     ;Calculate from LV
FLEVVL6   FL  tfl       6  o  y  0.0248 11.0e-3  11.0e-3  y  1.0        \F_FLEVVL6
FLEVVL7   FL  tfl       7  o  y  0.015   5.5e-3  10.0e-3  y  1.0        \F_FLEVVL7     ;Calculate from LV
FLEVVU1   FL  tfl       8  o  n  0.050   0.00     0.00    y  1.0        \F_FLEVVU1     ;Not available
FLEVVU2   FL  tfl       9  o  y  0.010   3.0e-3   6.0e-3  y  1.0        \F_FLEVVU2
FLEVVU3   FL  tfl      10  o  y  0.010   3.0e-3  10.0e-3  y  1.0        \F_FLEVVU3
FLEVVU4   FL  tfl      11  o  y  0.021   4.5e-3  10.0e-3  y  1.0        \F_FLEVVU4
FLEVVU5   FL  tfl      12  o  y  0.010   5.0e-3  10.0e-3  y  1.0        \F_FLEVVU5
